	rome_1556	Val_S	BC_Ms_739	Digby_233	Vat_Reg_Lat_844
83	quia virtus est aliquid secundum ronnem, 	por que la uirtud es alguna cosa segund razon |assi commo dize el philosofo 	per tal com uirtut es alguna cosa segons raho 	for suche vertues stonden by resoun 	quia uirtus est aliquod |secundum rationem 
84	vt probari habet secundo Ethi. 	en el segundo libro delas ethicas /· 	segons que pot esser prouat en lo.ii. libre de les echiques/ 	as it may be preued, 	ut pͨ probari secundo ethicorum. 
85	Potentiæ autem naturales 	Mas los poderios segund que son naturales 	E les potencies nͣals 	ii Ethicorum, and natural my3tes 	Potencie autem naturalesserin 
86	(secundum quod huiusmodi ) rationi non obediunt : 	non obedescena la razon 	segons que son naturals |no obehexen ala rao 	bien not obedient to resoun |in that bei bien soche. 	quod sunt riͦ non obediunt. 
87	nam siue quis ratiocinetur, 	/·Ca si alguno razonare/ 	Quar sia que algun us de raho o de uoluntat perlant per si les poten cies naturals 	For bei a man make resouns wheper 	Nam siue quis reͦmetur 
88	siue velit non propter hoc (per se loquendo ) 	o quisiere alguna cosa en su uoluntad non se sigue |por esso 	per aco no uariegen en les sues obres/ 	he wil oper no, |properliche for to speke 	seu uelit non propter ħ̾ 
89	potentiæ naturales variantur in actibus suis, 	que los poderios del alma sean mouidos nin desuariados en sus obras 	ans costenpres 	the natural potencial vertues varieth 	per se loquendo potencie naturales uariantur in actibus suis 
90	sed semper secundum modum sibi possibilem suas actiones efficiunt. 	Mas segunt su manera e su poder fazen sienpre sus obras |¶ 	segons la manera aelłs possible |o segons que elles poden fan les sues obres. 	not in here kynde worchynge |but wercheth alwey with al here my3t. 	secundum semper sermmodum |sibi possibilem suas actiones efficiunt. 
91	Tertio in talibus potentijs 	La terçera razon |por que enlos poderios naturales 	Encara entals potencies naturals 	The pridde, habites and vertues |bien not in natural uertual my3tes, 	tercio in talibus pocnonciis 
92|93	non sunt habitus et virtutes, |qui habitus sunt ad determinandum potentias, 	non pueden seer las disposiçonnes |nin las uirtudes es |por que las disposiconnes |e las uirtudes son |para se determinar los poderios 	no son los habits ols concebimens uirtuosos ne les uirtuts/ |Quar los habits ols concebimens son per determenar les potencies 	for suche habites and vertues inclineth potencial vertues 	non sunt habitus et uirtutes |quia hintus sunt ad detia̾ndum potentias 
94	vt bene vel male agant. 	para bien obrar o mal |assi commo contesçe 	que facen be omal 	to do wel oper euel, 	ut benelis male agant 
95|96	vt per habitus vitiosos |determinatur potentia 	que por las malas disposiconnes |se determinan los poderios del alma 	¶On perlos habits o per los concebimens uiciosos es determenada la potencia/ afer mal/ 	as a vicious habite inclyneth 	ut per habitus uiciosos dec̾ia ᷑ 
97|98	ad agendum male, |per virtuosos ad agendum bene : 	para mal fazer /· |Et por las buenas disposiconnes |e uirtudes se apareian a bien obrar /· 	E per los habits o per los concebimens uirtuosos 	to do euel, |and as a vertuous habite inclineth to do wel. 	ad agendum male |per uirtuosos ad agendum bene. 
99	cum ergo natura sit determinata ad vnum, 	¶ |Et pues que assi es commo la natura sea determimada a vna cosa 	afer be donques com natura sia determenada a una cosa eles potencies nals 	Thanne for kynde is inclyned |and determined to oon, 	Cum igitur natura sit determinata ad unum 
100	et potentiæ naturales sufficienter determinentur ad agendum, 	e los poderios naturales sean determinandos conplidamente 	sufficientment sien determenades 	and potencial vertues bien fol inclyned|by kynde to worche 	et potentiae naturaͣles sufficienter detie̾ntur 
101	ex natura sua 	para obrar segund su natura 	per lur natura a obrar 	by here owne kynde, 	ad agendum ex natura sua 
102	secundum eas nec sumus vitiosi, nec virtuosi, 	nos non somos malos nin uirtuosos |segunt los poderios natales 	segons elłs nos no som uiciosos ne uirtuosos/ 	and so perby we bep noper vertuous ne vicious 	secundum eas nec sumus uiciosi nec uirtuosi 
103|104|105	vt hic de vitio, |et virtute loquimur: |quare in eis huiusmodi virtutes esse non possunt. 	assi commo aqui fablamos dela maldat e dela uirtud |por la qual cosa no pueden ser |las uirtudes en los poderios naturales / 	parlant en aqualla mana̾ |que nos perlam açi de uici |e deuirtut per ral donques en elles no poden esser rals uirtuts 	as we speketh heere |of vertueus and of vices; |and so perinne may not be suche vertues.	ut hoc de uicio et uirtute loquimur |quare in eis uirtutesesse non possunt 
106	His ergo tribus rationibus, 	Et pues que assi es por estas tres razones mismas 	¶per aquestes .iii. rahons donques 	And by the same pre resouns 	hiis ergo tribus rͦibus 
107	per quas probatum est virtutes 	por las quales es prouado 	per les quals es prouat 	by the whiche it is preued 	per quas probatum est uirtutes 
108	non esse in potentijs naturalibus, 	que las uirtudes non son en los poderios naturales 	que les uirtuts no poden esser en les potencies naturals 	that vertuees bien not in the natural potencial vertues, 	non esse in potenciis naturalibus 
109	probari potest eas non esse in cognitione sensitiua, 	se puede prouar |que las uirtudes non son en el conosçimiento senssitiuo 	pot esser puat |que elles no poden esser enla conexença sensitiua 	it may be preued 	p̾robari potest eas non esse in cognitione sensitiua 
110	siue in potentiis sensitiuis. 	o en los poderios senssit uos conosçedores 	o en les potencies sensitiues/ 	that bei bien not in the knowyng of the fif wittes. 	seum pocenciis sensituus. 
111|112	Nam sicut non laudamur, |nec vituperamur ex potentiis naturalibus: 	Ca asi commo nos non somos alabados nin denostados |por los poderios naturales 	Quar axi com nos no son leats ne uituperats per les potencies naturals 	For as we ben nou3t ipreysed nober iblamed |for natural potencial vertues, 	Nam sicut non laudamur 
113|114	sic non laudamur, |nec vituperamu ex sensibus. 	assi non somos alabadosi |nin denostados |por los conosçimientos de los sesos |nin por los poderios senssituos /· 	e axi matex nos no som lohats ne uituperats per los seỹals corpals/ 	so we ben not ipreysed noper iblamed 	nec iutuperamur ex sensibus 
115|116	Nam sicut nullus laudatur |tanquam bonus homo, 	Ca assi commo ningun omne non es alabado |nin este nin do por bueno 	Quar axi com negun no es lohat otengunt per bon hon 	for the fife wittes; |for as no man is preysed 	Nam sicut unus laudatur |tanquam bonus bonus 
117|118	ex eo quod bene digerit, |vel bene crescit: 	por que muele bien su uianda |nin por que cresçe bien 	per co com ell fa be digestio o crex be/. 	for a gode man for he hap a gode digestion and wexyng, 	ex eo quod bene dirigit |uel bene cͤscit 
119	sic non laudatur 	assi non es alabado 	Aximatex no es lohar 	so man is no3t presed 	Sic non laudatur 
120|121	ex eo quod acute videt, |vel subtiliter audit, 	por que vee aguda mente / |o oye sotil mente /· 	per co com ell ueu agudament o hou subtilment 	for scharp si3t and gode hiryng, 	ex eo quod acute uidet |uel sibitiliter audit 
122	nisi forte hoc esset per accidens, 	saluo ende si por auentura esto fuese |por algun açidente 	si donques per auentura aco no era per accident o accidentalment 	but if it fallep by hap oper 	nisi forte hoc esset per accidens 
123	vt si quis ex superflua comestione, 	assi commo alguon por mucho comer / |o por mucho beuer 	axi com si algu |per massa mangyar 	yf a man is ble|r ey3ed 	ut si quis ex superflua commestione 
		ouiesse tal enfermadat 			
124	vel ex nimia potatione incurrisset ophthalmiam oculorum, 	que llaman otalmia |por que perdiesse la uista delos oios 	o per massa beure |aconseguia malaltia de obtalumia en los ulls 	and his si3t apeired 	uel ex nimia potatione incurris minuam obtalmiam oculorum 
125|126|127|128	ne bene videret, |vel debilitatem stomachi, |ne bene digereret: |increparetur ille, 	que non pudiesse bien veer / |o perdiesse la uirtud del estomago |qua non pudiesse bien moler |la uianda seria denostado 	per que no uehes be o aconseguia debilitat en lescomach |per que no fahes be digestio |aytal seria repͥs no partal 	for greet etyng and drynkyng, |oper 3if he hath euel digestioun |or feblenesse of stomachus for etyng, |aliter he schold be blamed 	ne bene indere̾t uel debilitatem stomachine |bene dige̾ret increpere ͣ 
129	non quia male digerit, 	non por que mal viesse 	com ell fa mal digestio 	for ouer mych drinkyng, 	ille non quia male digerit 
130|131|132|133|134|135|136	vel quia non clare videt, |quia clare videre, |et bene |digerere(per se loquendo) |non est in potestate hominis: |sed increparetur ex nimio potu, |vel ex superfluo cibo, 	nin por que mal moliese / |·mas por que por su mala constunbre |perdio la uista |e la uirtud del estomago |por que comio mucho |e beuio mucho /· 	o per tal com ell no ueu benclar quar clar ueure |e fer be digestio persi perlant |no es en so poder del hom |¶Mas ell seria rep̾s de massa beure o demassa mangyar 	aliter, and nou3t for he hath yuel dygestioun, |nober for feble si3t ‡‡ - |for scharp sight and good digestioun |[is not] in oure power propurliche for to speke - |but he schulde be blamed |fore he hath itake |to muche of mete and of drynke, 	uel quia clare non uidet |et bene digerere per se loquendo |non est in potestate hominis |sed increparetur |quod nimio potu |uel ex siͥfluo cibo. 
